Year,Locationabbr,Locationdesc,Class,Topic,Question,Response,Break_Out,Break_Out_Category,Sample_Size,Data_value,Confidence_limit_Low,Confidence_limit_High,Display_order,Data_value_unit,Data_value_type,Data_Value_Footnote_Symbol,Data_Value_Footnote,DataSource,ClassId,TopicId,LocationID,BreakoutID,BreakOutCategoryID,QuestionID,ResponseID,GeoLocation
2014,DC,District of Columbia,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"3,859",97.6,97.1,98.1,567,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,11,BO1,CAT1,CVDCRHD4,RESP054,"(38.89037138500049, -77.03196112699965)"
2014,FL,Florida,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"8,992",94.6,94.1,95.2,575,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,12,BO1,CAT1,CVDCRHD4,RESP054,"(28.932040377000476, -81.92896053899966)"
2014,FL,Florida,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,755,5.4,4.8,5.9,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,12,BO1,CAT1,CVDCRHD4,RESP046,"(28.932040377000476, -81.92896053899966)"
2014,GA,Georgia,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,403,4.1,3.6,4.7,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,13,BO1,CAT1,CVDCRHD4,RESP046,"(32.83968109300048, -83.62758034599966)"
2014,GA,Georgia,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"5,895",95.9,95.3,96.4,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,13,BO1,CAT1,CVDCRHD4,RESP054,"(32.83968109300048, -83.62758034599966)"
2014,HI,Hawaii,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,287,3.4,2.8,4,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,15,BO1,CAT1,CVDCRHD4,RESP046,"(21.304850435000446, -157.85774940299973)"
2014,HI,Hawaii,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"6,920",96.6,96,97.2,575,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,15,BO1,CAT1,CVDCRHD4,RESP054,"(21.304850435000446, -157.85774940299973)"
2014,ID,Idaho,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,299,3.4,2.8,3.9,571,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,16,BO1,CAT1,CVDCRHD4,RESP046,"(43.682630005000476, -114.3637300419997)"
2014,ID,Idaho,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"5,147",96.6,96.1,97.2,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,16,BO1,CAT1,CVDCRHD4,RESP054,"(43.682630005000476, -114.3637300419997)"
2014,IL,Illinois,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"4,760",96.4,95.9,97,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,17,BO1,CAT1,CVDCRHD4,RESP054,"(40.48501028300046, -88.99771017799969)"
2014,IL,Illinois,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,277,3.6,3,4.1,571,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,17,BO1,CAT1,CVDCRHD4,RESP046,"(40.48501028300046, -88.99771017799969)"
2014,IN,Indiana,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,766,4.6,4.1,5,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,18,BO1,CAT1,CVDCRHD4,RESP046,"(39.766910452000445, -86.14996019399968)"
2014,IN,Indiana,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"10,640",95.4,95,95.9,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,18,BO1,CAT1,CVDCRHD4,RESP054,"(39.766910452000445, -86.14996019399968)"
2014,IA,Iowa,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,454,4.1,3.7,4.6,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,19,BO1,CAT1,CVDCRHD4,RESP046,"(42.46940091300047, -93.81649055599968)"
2014,IA,Iowa,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"7,595",95.9,95.4,96.3,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,19,BO1,CAT1,CVDCRHD4,RESP054,"(42.46940091300047, -93.81649055599968)"
2014,KS,Kansas,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,789,4.2,3.9,4.6,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,20,BO1,CAT1,CVDCRHD4,RESP046,"(38.34774030000045, -98.20078122699965)"
2014,KS,Kansas,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"12,811",95.8,95.5,96.1,575,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,20,BO1,CAT1,CVDCRHD4,RESP054,"(38.34774030000045, -98.20078122699965)"
2014,KY,Kentucky,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,966,6,5.4,6.6,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,21,BO1,CAT1,CVDCRHD4,RESP046,"(37.645970271000465, -84.77497104799966)"
2014,KY,Kentucky,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"10,087",94,93.4,94.6,575,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,21,BO1,CAT1,CVDCRHD4,RESP054,"(37.645970271000465, -84.77497104799966)"
2014,LA,Louisiana,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,563,6.2,5.5,6.8,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,22,BO1,CAT1,CVDCRHD4,RESP046,"(31.31266064400046, -92.44568007099969)"
2014,LA,Louisiana,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"6,159",93.9,93.2,94.5,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,22,BO1,CAT1,CVDCRHD4,RESP054,"(31.31266064400046, -92.44568007099969)"
2014,ME,Maine,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,630,5.4,4.8,5.9,569,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,23,BO1,CAT1,CVDCRHD4,RESP046,"(45.254228894000505, -68.98503133599962)"
2014,ME,Maine,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"8,437",94.6,94.1,95.2,570,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,23,BO1,CAT1,CVDCRHD4,RESP054,"(45.254228894000505, -68.98503133599962)"
2014,MD,Maryland,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,761,3.2,2.9,3.6,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,24,BO1,CAT1,CVDCRHD4,RESP046,"(39.29058096400047, -76.60926011099963)"
2014,MD,Maryland,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"11,708",96.8,96.4,97.1,575,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,24,BO1,CAT1,CVDCRHD4,RESP054,"(39.29058096400047, -76.60926011099963)"
2014,MA,Massachusetts,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,974,4.3,3.8,4.8,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,25,BO1,CAT1,CVDCRHD4,RESP046,"(42.27687047000046, -72.08269067499964)"
2014,MA,Massachusetts,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"14,570",95.7,95.2,96.2,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,25,BO1,CAT1,CVDCRHD4,RESP054,"(42.27687047000046, -72.08269067499964)"
2014,MI,Michigan,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,605,5.4,4.8,5.9,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,26,BO1,CAT1,CVDCRHD4,RESP046,"(44.6613195430005, -84.71439026999968)"
2014,MI,Michigan,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"7,804",94.6,94.1,95.2,575,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,26,BO1,CAT1,CVDCRHD4,RESP054,"(44.6613195430005, -84.71439026999968)"
2014,MN,Minnesota,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,740,3.5,3.2,3.8,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,27,BO1,CAT1,CVDCRHD4,RESP046,"(46.35564873600049, -94.79420050299967)"
2014,MN,Minnesota,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"15,604",96.5,96.3,96.8,575,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,27,BO1,CAT1,CVDCRHD4,RESP054,"(46.35564873600049, -94.79420050299967)"
2014,MS,Mississippi,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,284,4.7,4,5.5,571,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,28,BO1,CAT1,CVDCRHD4,RESP046,"(32.745510099000455, -89.53803082499968)"
2014,MS,Mississippi,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"3,869",95.3,94.6,96,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,28,BO1,CAT1,CVDCRHD4,RESP054,"(32.745510099000455, -89.53803082499968)"
2014,MO,Missouri,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,516,4.8,4.1,5.4,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,29,BO1,CAT1,CVDCRHD4,RESP046,"(38.635790776000476, -92.56630005299968)"
2014,MO,Missouri,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"6,501",95.2,94.6,95.9,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,29,BO1,CAT1,CVDCRHD4,RESP054,"(38.635790776000476, -92.56630005299968)"
2014,MT,Montana,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,391,3.6,3.1,4.1,570,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,30,BO1,CAT1,CVDCRHD4,RESP046,"(47.06652897200047, -109.42442064499971)"
2014,MT,Montana,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"7,029",96.4,95.9,96.9,571,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,30,BO1,CAT1,CVDCRHD4,RESP054,"(47.06652897200047, -109.42442064499971)"
2014,NE,Nebraska,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,"1,258",3.9,3.6,4.3,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,31,BO1,CAT1,CVDCRHD4,RESP046,"(41.6410409880005, -99.36572062299967)"
2014,NE,Nebraska,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"20,944",96.1,95.7,96.4,575,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,31,BO1,CAT1,CVDCRHD4,RESP054,"(41.6410409880005, -99.36572062299967)"
2014,NV,Nevada,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,209,4.7,3.7,5.7,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,32,BO1,CAT1,CVDCRHD4,RESP046,"(39.493240390000494, -117.07184056399967)"
2014,NV,Nevada,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"3,517",95.3,94.3,96.3,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,32,BO1,CAT1,CVDCRHD4,RESP054,"(39.493240390000494, -117.07184056399967)"
2014,NH,New Hampshire,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,364,4.2,3.6,4.8,571,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,33,BO1,CAT1,CVDCRHD4,RESP046,"(43.65595011300047, -71.50036091999965)"
2014,NH,New Hampshire,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"5,780",95.8,95.2,96.4,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,33,BO1,CAT1,CVDCRHD4,RESP054,"(43.65595011300047, -71.50036091999965)"
2014,NJ,New Jersey,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,725,4.4,3.9,4.9,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,34,BO1,CAT1,CVDCRHD4,RESP046,"(40.13057004800049, -74.27369128799967)"
2014,NJ,New Jersey,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"12,215",95.6,95.1,96.1,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,34,BO1,CAT1,CVDCRHD4,RESP054,"(40.13057004800049, -74.27369128799967)"
2014,NM,New Mexico,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,472,3.9,3.3,4.5,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,35,BO1,CAT1,CVDCRHD4,RESP046,"(34.52088095200048, -106.24058098499967)"
2014,NM,New Mexico,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"8,413",96.1,95.6,96.7,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,35,BO1,CAT1,CVDCRHD4,RESP054,"(34.52088095200048, -106.24058098499967)"
2014,NY,New York,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,368,4.2,3.6,4.7,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,36,BO1,CAT1,CVDCRHD4,RESP046,"(42.82700103200045, -75.54397042699964)"
2014,NY,New York,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"6,452",95.8,95.3,96.4,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,36,BO1,CAT1,CVDCRHD4,RESP054,"(42.82700103200045, -75.54397042699964)"
2014,NC,North Carolina,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,492,5,4.4,5.5,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,37,BO1,CAT1,CVDCRHD4,RESP046,"(35.466220975000454, -79.15925046299964)"
2014,NC,North Carolina,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"6,727",95,94.5,95.6,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,37,BO1,CAT1,CVDCRHD4,RESP054,"(35.466220975000454, -79.15925046299964)"
2014,ND,North Dakota,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,482,4.1,3.5,4.6,568,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,38,BO1,CAT1,CVDCRHD4,RESP046,"(47.47531977900047, -100.11842104899966)"
2014,ND,North Dakota,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"7,241",96,95.4,96.5,569,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,38,BO1,CAT1,CVDCRHD4,RESP054,"(47.47531977900047, -100.11842104899966)"
2014,OH,Ohio,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,839,4.8,4.4,5.3,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,39,BO1,CAT1,CVDCRHD4,RESP046,"(40.06021014100048, -82.40426005599966)"
2014,OH,Ohio,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"9,968",95.2,94.7,95.7,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,39,BO1,CAT1,CVDCRHD4,RESP054,"(40.06021014100048, -82.40426005599966)"
2014,OK,Oklahoma,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,640,5.4,4.9,5.9,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,40,BO1,CAT1,CVDCRHD4,RESP046,"(35.47203135600046, -97.52107021399968)"
2014,OK,Oklahoma,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"7,719",94.6,94.1,95.1,575,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,40,BO1,CAT1,CVDCRHD4,RESP054,"(35.47203135600046, -97.52107021399968)"
2014,OR,Oregon,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"4,885",96,95.5,96.6,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,41,BO1,CAT1,CVDCRHD4,RESP054,"(44.56744942400047, -120.15503132599969)"
2014,OR,Oregon,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,294,4,3.4,4.6,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,41,BO1,CAT1,CVDCRHD4,RESP046,"(44.56744942400047, -120.15503132599969)"
2014,PA,Pennsylvania,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,751,5.1,4.6,5.6,570,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,42,BO1,CAT1,CVDCRHD4,RESP046,"(40.79373015200048, -77.86070029399963)"
2014,PA,Pennsylvania,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"10,158",94.9,94.5,95.4,571,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,42,BO1,CAT1,CVDCRHD4,RESP054,"(40.79373015200048, -77.86070029399963)"
2014,RI,Rhode Island,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,367,4.2,3.6,4.7,571,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,44,BO1,CAT1,CVDCRHD4,RESP046,"(41.70828019300046, -71.52247031399963)"
2014,RI,Rhode Island,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"6,038",95.8,95.3,96.4,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,44,BO1,CAT1,CVDCRHD4,RESP054,"(41.70828019300046, -71.52247031399963)"
2014,SC,South Carolina,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,733,4.8,4.3,5.3,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,45,BO1,CAT1,CVDCRHD4,RESP046,"(33.998821303000454, -81.04537120699968)"
2014,SC,South Carolina,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"10,150",95.2,94.7,95.7,575,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,45,BO1,CAT1,CVDCRHD4,RESP054,"(33.998821303000454, -81.04537120699968)"
2014,SD,South Dakota,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,459,4.2,3.6,4.9,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,46,BO1,CAT1,CVDCRHD4,RESP046,"(44.353130053000484, -100.3735306369997)"
2014,SD,South Dakota,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"6,854",95.8,95.2,96.5,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,46,BO1,CAT1,CVDCRHD4,RESP054,"(44.353130053000484, -100.3735306369997)"
2014,TN,Tennessee,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,437,5.6,4.9,6.3,572,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,47,BO1,CAT1,CVDCRHD4,RESP046,"(35.68094058000048, -85.77449091399967)"
2014,TN,Tennessee,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,No,Overall,Overall,"4,648",94.4,93.7,95.2,573,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,47,BO1,CAT1,CVDCRHD4,RESP054,"(35.68094058000048, -85.77449091399967)"
2014,TX,Texas,Chronic Health Indicators,Cardiovascular Disease,Ever told you had angina or coronary heart disease?,Yes,Overall,Overall,889,3.7,3.3,4.1,574,%,Crude Prevalence,,,BRFSS,CLASS03,Topic10,48,BO1,CAT1,CVDCRHD4,RESP046,"(31.827240407000488, -99.42677020599967)"
